StaringActorId,ActorAgeGapId,WriterId,GenreId,Success
12534,4,320633,1,1
12485,4,569908,1,1
12486,6,469253,10,1
12585,2,12585,3,1
404833,6,653189,11,1
12522,4,229531,1,1
12543,5,516590,1,1
11963,4,332126,11,1
12470,3,11983,7,1
35181,4,724930,11,1
12470,3,254375,1,1
509180,4,13160,14,1
522070,4,908843,1,1
12534,4,13558,14,1
12543,4,11898,7,1
12585,3,12585,3,1
12511,5,855638,14,1
12585,3,12585,3,1
144399,5,339059,11,1
12475,3,13044,1,1
902078,5,631308,11,1
12140,5,10245,14,1
12497,4,109659,1,1
75323,6,133208,10,1
336867,5,152245,14,1
12500,4,179116,3,1
235710,6,61737,10,1
12523,4,385400,3,1
364745,5,855638,1,1
13204,3,382354,10,1
12586,4,412554,15,0
11599,1,748298,1,1
12592,4,11744,15,1
12679,2,12579,15,0
12603,2,577862,14,1
11686,4,11685,10,1
12603,3,782275,14,1
12592,4,11904,1,0
12611,2,804725,15,1
12658,3,710045,3,1
12821,4,175940,17,1
13017,3,12804,10,1
12679,3,649675,15,0
12708,3,281835,3,0
12847,4,12781,11,1
12621,4,623605,1,1
12607,4,759846,10,0
13016,3,419382,17,1
12621,4,45769,3,0
13084,3,400588,15,1
12688,5,12696,14,1
12599,5,368393,1,1
12561,5,710611,3,1
12583,4,76092,3,0
615617,5,20845,3,1
12951,5,623997,15,1
12583,4,268800,3,1
12599,4,341425,17,1
12621,4,336248,1,1
12887,4,202934,3,0
12455,4,12692,18,1
12693,4,12693,1,0
13101,2,708449,15,1
13084,4,469587,18,1
12776,4,500746,15,0
71766,6,766991,3,1
12555,3,11641,3,1
12897,4,12014,15,1
12662,3,12694,14,1
13015,5,345648,3,1
13182,3,762592,17,1
13015,5,655747,15,1
12096,5,372989,15,0
12658,4,12564,15,1
13623,6,11664,3,0
12626,5,884536,3,1
345467,1,166612,10,1
11762,4,12503,10,1
404873,4,719673,18,1
12495,3,885134,10,1
11805,5,486637,1,1
12519,3,11883,17,1
12483,1,24587,16,1
13041,5,793702,18,1
12481,3,834526,10,1
12493,4,13519,3,1
12396,4,653189,10,0
12588,4,517489,15,1
13027,5,481060,10,1
12523,3,474673,14,1
12396,4,229531,1,1
13097,4,12503,3,1
12588,4,517489,15,1
13000,4,106129,10,1
12588,4,517489,15,1
12730,5,868698,3,1
12605,4,88205,16,1
12605,4,12070,16,1
12730,5,400736,17,1
12605,4,856933,16,1
12519,3,635591,14,1
12995,5,12503,14,1
12605,3,282046,15,1
13161,4,11698,12,1
12141,3,451234,14,1
12471,5,752241,14,1
12534,3,355307,8,1
12140,4,12504,10,1
511094,3,314718,10,1
12483,2,712114,14,1
12497,4,98230,10,1
12481,3,12503,1,1
13417,5,12468,1,1
12534,3,183778,8,1
12495,4,872201,10,1
12489,2,488268,10,1
161739,5,649749,11,1
12517,4,13160,3,1
12956,4,13160,3,1
12471,3,662596,14,1
12611,3,398236,15,1
12098,5,428205,15,0
764108,5,557781,10,1
12949,6,12590,18,1
12597,3,341344,14,1
12893,5,392913,3,0
12679,4,12579,15,1
12265,4,11906,3,1
12904,6,13046,10,1
12613,5,13172,10,1
13059,4,12879,1,1
12852,5,12918,3,1
12679,4,478439,15,0
12897,5,12647,15,1
262398,4,12285,18,1
12597,4,11651,1,1
12700,5,406896,19,0
13050,2,12581,18,1
12467,5,13064,3,1
12263,5,772308,15,1
12707,5,623984,18,1
13103,4,570180,1,1
12605,3,113281,17,1
12626,3,180059,1,1
11641,4,11641,3,1
12617,5,538904,15,0
12558,3,12558,3,1
12693,4,12693,1,0
11936,4,74418,3,1
12467,4,12564,10,1
12627,3,204093,17,1
12897,5,109665,15,1
625154,2,560737,18,0
12597,4,472898,17,1
12660,3,12638,1,1
12242,4,13046,10,1
12679,4,396024,10,0
13084,5,12581,15,0
12617,5,355453,15,1
12611,4,12014,15,1
12611,4,263170,2,1
12398,6,528450,12,1
144125,5,13063,18,1
12693,4,572961,15,1
12030,4,103231,17,1
12739,6,12692,10,1
12617,5,355453,15,0
12693,4,572961,15,0
12693,4,12693,1,0
12707,4,12579,15,1
13084,4,323569,15,1
13081,4,12649,1,1
12574,5,12918,3,1
12619,4,659166,1,1
12946,5,878067,15,0
12772,4,474461,10,1
12556,4,687529,1,1
12556,4,763993,1,1
12574,4,844172,10,1
13069,3,12571,14,1
12583,4,261072,3,0
12900,4,12696,14,1
12700,4,12696,14,1
12672,4,12638,1,1
12669,5,20887,15,0
13084,3,13574,15,0
12679,3,921034,15,0
11599,3,92255,18,1
13000,3,834526,17,1
12519,3,867193,3,1
12080,4,12779,3,1
12660,4,12405,1,1
12662,4,12801,14,1
11641,4,11641,10,1
126612,5,376098,18,1
13161,3,13161,3,1
602384,4,12503,10,1
12662,4,659874,17,1
12306,3,13473,10,1
12660,4,345101,1,1
12810,5,619248,3,1
13114,5,12638,18,1
11763,4,156886,1,1
12693,5,12693,1,1
12597,4,12311,14,1
12558,3,12558,3,1
12840,5,12692,1,1
12583,4,76092,10,0
12621,4,502149,10,1
12805,2,450133,3,0
12689,5,306663,15,0
12637,4,18625,15,0
12623,5,12963,1,1
11795,5,369242,3,0
12617,4,872269,17,1
12597,2,656215,14,1
13060,3,633385,3,0
12687,6,13665,3,0
12567,4,12279,15,0
12709,4,372611,15,1
12575,3,11824,15,0
13526,5,431921,14,1
12662,2,12983,14,1
12693,3,864110,15,0
12708,3,372611,10,0
796600,4,760624,15,1
12578,4,3759356,1,1
12597,3,732420,17,1
12613,5,13172,10,1
12589,4,93343,10,1
12709,4,863874,15,0
12599,5,12781,1,1
13127,4,710032,1,0
12662,3,662596,14,1
12597,3,656215,14,1
12809,7,12918,3,1
12588,2,13540,15,1
12679,3,728413,3,0
12784,4,11658,14,1
11605,3,12638,14,1
12881,3,820112,15,0
12615,3,481372,3,0
12693,3,12693,1,0
12679,3,11744,15,1
12565,4,885354,3,0
11982,4,29500,3,0
12410,4,11658,3,1
615750,4,898462,11,1
12884,5,17472,14,1
12597,3,506123,14,1
12626,2,61737,10,0
12589,4,12694,1,1
13127,4,18941,15,0
12589,4,227158,15,0
12612,5,345641,14,1
12679,3,12579,15,1
12678,3,442659,10,1
870622,6,593499,10,1
12707,3,623984,15,0
12603,3,12853,1,0
12937,3,18625,15,0
12589,4,12014,1,0
12661,4,780583,18,1
12592,5,779305,1,1
12809,6,12918,10,0
12821,4,188309,15,1
12617,4,104395,15,0
12635,2,12696,14,1
12662,2,38643,1,1
12605,1,644244,1,1
12659,5,12659,3,0
12604,4,521446,1,1
144125,4,13063,3,1
12597,3,12194,14,1
12662,2,823037,14,1
12693,3,509883,15,0
509596,5,12963,3,1
12693,3,24711,15,0
11751,5,20845,3,0
12617,4,72003,10,0
12614,2,12429,14,1
12556,4,630901,1,1
13032,5,615406,3,0
339642,5,16753,1,1
11868,5,448262,1,0
12706,3,55585,14,1
12591,4,112133,17,1
11858,4,160272,14,1
11795,4,270131,3,0
12599,4,683474,8,0
12575,3,662276,15,0
12751,5,244557,14,1
12816,3,247495,15,1
12101,5,490611,15,1
12684,5,12694,1,1
13159,6,12638,10,1
12197,7,557781,10,1
12592,5,145597,15,0
13127,4,85495,1,0
12751,6,12383,1,1
144125,5,13063,3,1
13009,5,12503,1,1
12708,4,512852,17,1
12617,4,11552,15,1
13037,5,279288,3,1
12651,3,12918,3,1
12679,4,820112,15,1
12607,5,11883,10,1
12578,5,11657,3,1
13156,4,586637,15,1
12679,4,12638,15,0
12779,1,12779,10,0
12589,4,284041,14,1
12684,5,24854,14,1
390451,5,905293,15,1
12748,5,548886,3,1
12621,4,14188,3,1
13015,5,13015,3,0
12709,4,828000,15,1
12555,3,12555,3,1
13021,1,907318,3,1
618591,2,815174,1,1
12626,2,593898,1,1
12693,3,572961,15,0
810087,1,557781,11,1
12679,3,212373,3,0
11968,3,893937,10,1
140095,4,132909,11,1
12901,4,12579,10,1
12613,5,292990,10,1
12937,4,18625,15,1
12708,4,752372,3,1
12658,4,12564,15,0
12574,5,400588,17,1
12152,4,13871,10,0
12611,3,104395,15,1
12617,4,104395,15,0
77557,5,593499,11,1
12794,3,12918,3,1
12808,3,11792,3,1
386876,4,110945,3,1
13095,4,484674,3,1
12096,4,18567,14,1
12659,4,12659,15,0
12706,3,195787,14,0
12005,5,159933,15,0
12662,2,13948,1,0
12594,4,384318,3,1
17169,6,13099,3,1
199848,5,80563,1,1
12887,4,202934,3,0
12583,4,26742,17,1
12659,4,789741,10,1
12817,5,489731,14,1
17439,6,44681,3,1
12621,3,515328,3,0
513420,6,538239,15,1
12602,5,268790,3,0
18829,5,839853,14,1
12669,4,865595,15,1
12705,5,98230,15,0
105847,6,859206,18,0
12737,5,882531,18,0
12817,5,377631,14,1
12578,4,12429,8,0
569998,5,890711,18,0
17085,5,20528,15,0
879060,3,174971,11,1
497248,5,348091,11,1
12583,4,268800,3,0
268626,5,175179,14,0
17169,5,11942,15,0
12792,3,570337,15,0
339023,5,34007,15,1
234636,5,591195,18,0
12578,4,340267,15,0
12617,3,708419,15,0
13111,4,893199,15,0
12621,4,17161,10,1
12709,4,20636,8,1
12691,4,20390,14,1
12589,4,669759,15,0
12583,4,390847,3,0
12609,4,622135,1,1
12976,3,11657,14,1
12635,2,470248,15,1
11795,5,369242,3,0
12656,4,596166,11,0
12689,5,13574,15,0
12592,4,11685,3,1
13060,3,12649,8,1
12660,2,101782,3,0
12825,2,11698,3,0
12592,4,305010,15,0
12615,3,228418,14,1
12617,4,374134,15,0
12588,1,885841,15,1
12601,5,13099,1,0
12580,5,882531,18,0
12597,2,148173,14,1
20274,4,1260343,10,0
12376,2,708449,15,1
12653,5,11904,14,1
12654,5,880001,1,1
12629,4,12804,15,0
11868,6,890799,15,1
12611,2,523566,15,0
12707,3,623984,15,0
12675,4,308943,10,0
12659,4,12659,10,0
12679,3,18625,15,0
489152,4,896715,1,1
12776,3,11657,3,1
12705,5,13222,1,1
13367,3,155611,3,1
12718,5,20845,3,1
12578,4,20526,15,0
12612,4,366374,1,1
12326,4,12243,8,1
12669,4,18283,1,1
12662,2,647713,17,1
12864,4,253405,18,0
12700,3,105833,15,1
12709,3,12571,15,1
12603,2,106604,1,1
12623,5,613719,1,1
12708,3,12817,1,1
16920,4,166564,10,1
11953,6,243693,18,0
12890,3,12696,14,1
12691,4,241499,14,1
12583,4,346195,3,0
12619,3,12804,15,0
12556,4,626234,1,0
12632,2,182008,10,1
528923,5,557781,10,1
12673,5,71144,3,0
12660,2,37414,3,1
12580,5,882531,18,0
12556,4,348045,10,0
12586,4,697348,15,0
13143,5,586637,15,0
12601,5,12579,1,1
12575,3,256211,15,0
12621,3,17161,10,1
12583,4,613719,3,1
11795,4,369242,3,0
12174,5,559455,14,1
12558,1,30273,10,0
12709,3,372611,15,0
12594,4,428806,3,1
13111,4,318729,15,0
12872,4,783251,15,0
12691,4,17161,10,0
12617,3,503791,10,0
12578,4,13157,1,0
12843,1,710032,15,0
12718,5,20845,10,1
12567,4,12804,15,0
12689,5,530869,15,1
12592,4,12503,1,1
333893,4,18567,15,0
12599,4,831180,10,1
12599,4,577316,18,0
12574,4,13574,15,0
12621,3,12638,14,1
13609,4,17399,3,1
13167,6,832051,10,1
12601,5,243104,15,0
12567,4,184769,15,0
12592,4,305010,15,0
12444,4,737834,10,1
12631,3,216144,15,1
493885,6,466652,10,0
12617,3,878558,15,0
12101,5,14188,3,1
12637,4,476015,10,0
12633,5,44405,15,0
12792,3,475809,15,0
12621,3,708419,1,1
11886,4,596166,10,1
11633,5,405166,1,1
11795,4,369242,3,0
12689,4,820112,15,0
12376,2,223766,15,1
12632,2,182008,15,0
12654,5,12647,15,0
17486,4,892254,10,1
12599,3,12781,11,1
160925,5,12647,15,0
160925,5,12647,15,1
17331,5,17331,11,1
12617,3,11552,15,0
12597,2,908048,15,1
12597,2,509705,3,0
16792,5,360679,3,0
12601,5,386279,10,0
12565,3,831119,15,0
12613,4,887231,10,0
322768,6,115311,3,1
873249,4,12649,1,1
13042,2,815231,15,0
13167,5,832051,15,1
13167,5,832051,10,1
12709,3,751620,1,1
12691,4,56816,1,1
12583,4,304004,3,0
12689,4,306663,15,0
12676,5,506581,17,1
12591,4,270338,15,1
272461,5,859557,3,0
12592,4,13222,1,1
12709,3,424149,3,0
12797,3,229526,15,1
12586,4,391142,10,1
16839,5,82841,3,1
12673,4,332313,17,1
12305,5,582145,18,0
12378,4,738296,3,0
12808,2,221813,10,1
17494,3,166391,14,1
12636,4,511525,1,1
497087,4,404447,3,1
17331,5,17331,11,1
12842,6,267312,1,0
12642,4,281179,10,0
12602,5,715702,15,0
12611,2,170311,1,0
12621,3,113165,10,1
12577,3,167158,3,1
12599,4,398883,13,1
13017,2,12804,15,0
646105,4,676287,1,1
456074,6,13270,1,1
897735,5,582145,18,0
410842,4,16753,1,1
13604,4,13604,3,0
420558,5,12558,1,1
118025,4,766203,15,1
12631,2,1854619,15,0
65008,3,2791250,15,1
669648,6,441776,10,1
456895,5,699375,15,0
12665,4,113165,1,0
351402,5,113165,17,0
13604,4,1737654,3,1
12707,2,751620,1,0
12578,4,457949,15,0
11687,4,38502,3,0
12592,3,74911,14,1
12583,3,49380,3,0
666394,4,402911,15,0
17162,4,623984,15,0
296927,4,15350,10,0
12838,3,1473514,15,1
12817,4,511163,15,1
17331,4,17331,15,0
12751,4,18625,15,1
12872,4,886223,15,0
160655,3,160655,15,1
12838,4,356397,15,1
179437,6,913824,13,0
669648,6,327191,10,1
12633,5,44405,15,0
12654,4,1364348,10,1
13061,3,12849,15,0
13604,4,1372695,3,0
95009,5,1368791,15,0
12758,5,341256,15,0
876019,5,831119,15,0
12593,3,708704,3,0
16791,5,376098,18,0
12662,1,753881,1,0
740268,3,2103044,10,1
11795,4,441220,3,0
576621,6,400059,1,1
12669,4,865595,15,0
12599,4,672948,17,1
12691,3,398424,1,0
12597,2,795519,14,0
12636,4,34193,18,1
16911,4,500149,15,0
12751,5,900578,15,1
12586,4,417061,14,1
12657,3,191171,1,1
12617,3,323871,3,0
17494,4,17399,3,1
12206,4,618669,8,1
12872,4,783251,15,0
12706,3,395786,17,1
813527,5,464463,3,1
12378,4,299556,3,0
12576,4,480938,15,0
17296,6,104805,3,1
17322,6,13198,10,0
12627,1,345641,14,0
12718,5,872269,15,0
17263,5,652257,10,0
12642,5,12732,1,1
12679,2,877737,15,0
12601,5,178315,14,1
12709,3,751620,1,1
12763,4,352438,1,1
669648,6,715921,10,1
17147,5,788044,3,0
12669,4,865595,15,0
12713,4,255381,3,0
12700,3,902228,15,0
160270,6,557781,10,1
854055,4,191172,10,1
11633,4,243104,15,1
12575,3,11824,15,0
351402,5,431505,1,1
12730,1,129541,3,0
452954,4,18451,3,1
12601,5,588005,17,1
11930,5,114230,1,1
359671,6,864015,3,0
12708,2,702016,1,0
12895,1,44681,3,1
290965,6,798623,10,1
11587,2,18512,10,1
12698,4,12696,15,1
12792,3,475809,15,0
13065,1,71633,15,0
12578,4,633545,3,1
12063,3,4782313,10,1
12206,4,883370,15,0
12591,4,323819,17,1
12691,3,105715,1,1
11795,4,13222,3,1
12563,3,662276,15,0
13121,2,1445332,1,1
160270,6,734038,10,0
12887,3,384318,3,0
12636,4,13418,14,1
13039,3,417470,1,1
416932,5,783251,15,0
12617,3,1251424,15,0
13125,4,178151,15,1
107391,5,950301,3,1
12567,3,12279,15,0
12617,3,751620,1,0
42142,4,731435,15,0
12718,4,417634,15,0
595622,5,285073,1,1
68375,6,340863,1,1
13165,5,102631,3,0
17263,5,115494,10,0
12604,3,389492,3,0
17065,5,26641,3,0
12706,3,419962,14,0
16792,5,360679,3,0
16815,5,362678,17,1
12653,4,152828,15,0
99526,4,1888739,3,0
12621,3,169663,14,1
12631,2,351097,15,0
272461,5,859557,3,0
12660,1,1292361,3,0
12612,4,447720,14,0
18829,5,24619,15,1
12578,3,417634,15,0
850964,4,850964,3,0
12592,4,34193,13,0
566278,5,20845,3,0
17348,4,725082,18,0
12627,1,345641,14,0
17147,5,335049,1,1
12378,4,299556,3,0
12376,1,649675,15,1
12005,5,1393767,15,0
12592,3,493671,15,1
12578,4,1377654,3,1
12599,4,894413,15,1
13039,3,11942,14,1
12709,2,103948,10,0
271810,6,749390,11,1
12706,3,673982,15,1
16792,5,360679,3,0
12660,1,230290,3,0
12569,5,311432,15,0
272461,5,535878,3,0
879148,4,758720,14,1
12689,4,4782313,10,0
12174,4,1299250,1,1
13134,3,254894,3,0
12599,3,455590,17,1
170044,5,335049,18,0
12594,4,187967,8,1
12591,4,1314939,15,1
12588,1,577316,15,0
725810,1,111109,10,1
12887,3,202934,3,1
12709,3,473782,15,0
12583,3,460119,3,0
13039,3,38787,14,1
12101,5,490611,15,1
17598,4,17161,11,0
1365320,6,505122,14,1
17302,2,72554,15,1
13124,1,427425,15,0
12592,3,470242,15,0
12850,2,12590,15,0
669648,6,441776,10,1
17085,4,372611,15,0
12291,1,489457,1,1
99526,4,887673,3,0
12556,3,391142,1,0
107391,5,107391,3,1
1568448,5,367425,3,0
309746,4,663584,3,1
12795,4,337900,14,1
187404,4,1321059,14,1
12667,5,530043,1,1
12376,1,1487692,15,0
493885,6,1702359,3,0
12698,4,12696,15,1
13361,4,609791,14,1
12662,1,825277,15,0
118025,4,12312,1,1
12792,2,588005,15,0
17494,4,12571,15,0
12659,4,12659,15,0
669648,6,715921,10,1
16911,4,896351,15,0
16911,4,890711,15,0
873249,4,461911,18,0
12659,3,789741,10,0
16933,5,763031,1,0
12713,4,179770,3,0
12076,4,1293433,15,1
122810,5,1484233,3,1
17597,4,1401951,3,0
266616,4,890799,10,1
669648,6,441776,10,1
12913,4,11850,17,1
266616,4,890799,15,1
12442,4,868780,1,0
187404,4,662276,15,1
12817,4,461911,15,0
1486922,5,80127,3,0
12556,3,1487692,15,0
13604,4,13604,3,0
12654,4,555733,10,0
12222,4,145599,17,1
13111,3,318729,15,0
12378,3,172515,10,1
12669,3,1558349,15,0
873249,4,868780,15,0
12556,3,12696,10,1
12751,5,460829,1,1
272461,5,535878,3,0
12621,3,313065,3,1
12658,2,44681,15,1
18939,1,257303,17,1
12235,5,12285,15,1
800198,3,635442,10,0
12599,3,12638,1,0
159118,3,1770218,15,1
12378,4,1285178,3,0
11923,2,84024,15,1
12586,3,295406,1,0
653264,4,653264,3,1
13016,1,92701,14,0
13167,5,18760,10,0
164711,4,1549719,10,0
16815,4,1915521,1,0
13329,4,401173,3,1
12599,3,11698,10,0
12611,1,447720,15,0
12623,4,12963,1,1
17577,4,17576,3,0
12591,3,883090,15,1
12621,3,323819,8,0
12669,3,241499,15,0
1231315,5,241517,8,0
12556,3,722787,1,1
885211,4,599655,14,0
615617,4,20845,3,1
148692,3,48832,15,0
653264,4,892396,15,1
11930,5,1587793,14,1
12700,2,210531,3,0
11777,4,693502,3,1
12658,2,11672,1,1
11633,4,276793,1,0
12378,4,91516,3,0
16987,4,323871,3,0
12660,1,563261,3,0
12709,2,88263,15,0
12583,3,428806,1,1
12621,3,829668,10,0
410842,4,783251,15,0
467556,3,517084,14,1
12601,5,493671,17,1
12583,3,327674,10,0
12709,3,187674,15,0
12697,5,409938,17,1
12378,4,353386,3,0
11795,4,1454276,3,0
12689,4,858147,15,0
268626,5,12694,15,0
64609,1,557781,10,1
719498,5,6543,15,0
618012,4,270338,15,0
12586,3,1260024,14,0
16974,4,12894,17,1
12278,4,120381,10,0
12591,3,379411,17,1
497248,4,918044,11,1
496921,6,1498920,1,1
920522,5,799964,1,1
12700,2,1702894,10,0
11795,4,707033,3,0
576621,5,1702894,10,1
1414769,6,794208,10,0
12161,3,864110,1,1
420558,5,1229343,15,0
12578,3,613719,14,1
2121727,4,18512,15,0
13083,2,570942,14,1
12758,4,527517,15,0
12697,5,24249,15,0
12077,3,104436,1,0
594860,2,20922,1,1
17512,5,337900,1,1
148692,3,49380,3,0
12592,3,291134,10,0
12183,2,473198,15,1
12601,4,1368791,14,1
12599,3,493671,1,1
42142,4,1256041,1,1
12612,3,1755891,8,0
329972,3,355861,15,1
187404,3,622618,15,0
12669,3,1598730,1,0
12622,4,147618,3,1
285727,4,16374,10,1
13042,2,815231,15,0
464829,3,2438042,1,1
148692,3,612891,3,0
12659,3,677798,10,0
12101,4,13063,15,0
13016,2,141674,15,0
12705,4,244090,15,0
268626,5,12983,15,0
706991,4,12714,3,0
16974,4,2099760,15,0
17512,4,459674,1,0
12633,4,44405,15,0
12586,3,44681,10,1
17567,4,1358770,18,0
410842,3,312218,15,0
12623,4,1468403,15,0
867475,3,865595,15,1
506250,5,536292,10,0
4043017,5,2356558,1,0
12578,3,323569,15,0
12621,2,17161,10,1
2189152,5,64901,10,1
17416,3,308722,10,0
12751,4,106604,15,0
12817,4,24619,15,1
99526,4,15950,15,1
897841,3,288753,15,0
12821,2,1256041,17,1
13061,2,1775181,15,0
65124,4,65124,3,1
12174,4,1327158,1,1
16778,5,12849,15,0
12556,3,234304,17,1
351402,5,850257,14,1
16988,3,1455930,10,1
12599,3,244474,15,1
569998,4,13275,18,0
555338,4,364433,15,1
509899,5,188029,3,0
13167,5,579404,14,1
920522,5,1293433,15,1
12636,4,886453,10,0
12689,4,1534376,3,0
148692,3,208294,3,1
12609,3,125229,1,1
176375,5,244000,3,1
12607,3,1358770,18,1
17597,4,404447,10,0
17494,4,12571,15,0
